sdc_event_id,superevent_id,model_id,model_filepath,gcn_filepath,timestamp_utc,distance_mpc,z,pointings
0,GW280102a,1856,gammapy_models/GW280102a_catO5_1856_gammapy.fits,GCNs/GW280102a_GCN.json,2028-01-02 00:03:39.819055,140.0,0.031,[]
1,GW280103a,110,gammapy_models/GW280103a_catO5_110_gammapy.fits,GCNs/GW280103a_GCN.json,2028-01-03 22:51:35.742546,1480.0,0.28,[]
2,GW280104a,1931,gammapy_models/GW280104a_catO5_1931_gammapy.fits,GCNs/GW280104a_GCN.json,2028-01-04 08:31:39.312458,701.0,0.143,[]
3,GW280105a,1411,gammapy_models/GW280105a_catO5_1411_gammapy.fits,GCNs/GW280105a_GCN.json,2028-01-05 08:44:05.585539,987.0,0.196,[]
4,GW280105b,589,gammapy_models/GW280105b_catO5_589_gammapy.fits,GCNs/GW280105b_GCN.json,2028-01-05 20:46:33.688458,706.0,0.144,[]
5,GW280106a,1340,gammapy_models/GW280106a_catO5_1340_gammapy.fits,GCNs/GW280106a_GCN.json,2028-01-06 09:42:07.008964,784.0,0.159,[]
6,GW280106b,461,gammapy_models/GW280106b_catO5_461_gammapy.fits,GCNs/GW280106b_GCN.json,2028-01-06 15:56:03.101017,1170.0,0.228,[]
7,GW280106c,2247,gammapy_models/GW280106c_catO5_2247_gammapy.fits,GCNs/GW280106c_GCN.json,2028-01-06 18:36:17.076245,314.0,0.067,[]
8,GW280107a,1601,gammapy_models/GW280107a_catO5_1601_gammapy.fits,GCNs/GW280107a_GCN.json,2028-01-07 13:15:53.800581,288.0,0.062,[]
9,GW280108a,1908,gammapy_models/GW280108a_catO5_1908_gammapy.fits,GCNs/GW280108a_GCN.json,2028-01-08 09:34:16.117615,941.0,0.187,[]
10,GW280108b,2067,gammapy_models/GW280108b_catO5_2067_gammapy.fits,GCNs/GW280108b_GCN.json,2028-01-08 15:54:59.262165,563.0,0.117,[]
11,GW280109a,1292,gammapy_models/GW280109a_catO5_1292_gammapy.fits,GCNs/GW280109a_GCN.json,2028-01-09 14:35:48.110237,1000.0,0.198,[]
12,GW280109b,1554,gammapy_models/GW280109b_catO5_1554_gammapy.fits,GCNs/GW280109b_GCN.json,2028-01-09 20:22:21.933343,975.0,0.193,[]
13,GW280110a,362,gammapy_models/GW280110a_catO5_362_gammapy.fits,GCNs/GW280110a_GCN.json,2028-01-10 07:56:01.679418,481.0,0.101,[]
14,GW280110b,1690,gammapy_models/GW280110b_catO5_1690_gammapy.fits,GCNs/GW280110b_GCN.json,2028-01-10 13:09:49.471020,10100.0,1.38,[]
15,GW280110c,610,gammapy_models/GW280110c_catO5_610_gammapy.fits,GCNs/GW280110c_GCN.json,2028-01-10 17:49:30.144406,200.0,0.044,[]
16,GW280110d,2243,gammapy_models/GW280110d_catO5_2243_gammapy.fits,GCNs/GW280110d_GCN.json,2028-01-10 20:48:02.145257,816.0,0.165,[]
17,GW280110e,1473,gammapy_models/GW280110e_catO5_1473_gammapy.fits,GCNs/GW280110e_GCN.json,2028-01-10 21:48:03.392259,2730.0,0.473,[]
18,GW280110f,1527,gammapy_models/GW280110f_catO5_1527_gammapy.fits,GCNs/GW280110f_GCN.json,2028-01-10 23:24:17.299739,234.0,0.051,[]
